,Predicted,Actual,Starting Price,Shares,Predictions,,Actual,,$ made,absolute of F,Normalized,Money Invested,,BUY ROI,,SELL ROI,
1137,84.39597136,88.17,84.15,0.006981352,0.002923011,TRUE,0.047771836,,0.028065035,0.002923011,0.005874808,0.587480777,,18.25382223,1538.655573,-0.31609246,198.8406784
700,142.0897603,157.86,140.36,0.01786718,0.012323741,TRUE,0.124679396,,0.312675658,0.012323741,0.025078374,2.507837444,,1.2%,,0.2%,
101,44.583848,41.79,44.57,0.001208104,0.000310702,TRUE,-0.062373794,,-0.003358528,0.000310702,0.000538452,0.053845174,,,TOTAL ROI,,
283,84.82241812,82.99000002,83.64,0.03441229,0.014136993,TRUE,-0.007771401,,-0.022367988,0.014136993,0.028782439,2.878243937,,,1.1%,,
484,473.7425373,479.1299999,467.49,0.005823706,0.013374697,TRUE,0.024898928,,0.067787932,0.013374697,0.027225241,2.722524113,,,,,
1114,124.0339018,122.37,122.48,0.021081317,0.012686984,TRUE,-0.000898106,,-0.002318945,0.012686984,0.025820397,2.58203974,,,,,
531,65.35759089,69.44,64.95,0.019589063,0.006275456,TRUE,0.0691301,,0.087954892,0.006275456,0.012723096,1.27230963,,,,,
1412,130.8114921,131.66,128.85,0.024059791,0.015223066,TRUE,0.021808304,,0.067608013,0.015223066,0.031001041,3.100104103,,,,,
145,70.12282911,66.62000003,68.64,0.064151777,0.021602988,TRUE,-0.029428904,,-0.129586587,0.021602988,0.04403378,4.403377952,,,,,
1868,65.33449087,63.97999999,63.75,0.079492411,0.024854759,TRUE,0.003607843,,0.018283254,0.024854759,0.050676412,5.06764117,,,,,
1588,120.0969259,130.23,118.55,0.022403497,0.013048721,TRUE,0.09852383,,0.261672849,0.013048721,0.026559346,2.655934596,,,,,
469,60.06056369,61.89000001,59.05,0.059040081,0.017113695,TRUE,0.048094835,,0.167673831,0.017113695,0.034863168,3.486316794,,,,,
1311,95.35597148,92.81999997,94.06,0.029820726,0.013778136,TRUE,-0.013183075,,-0.036977702,0.013778136,0.028049375,2.804937519,,,,,
577,114.5079387,108.39,112.89,0.025848861,0.014331993,TRUE,-0.039861812,,-0.116319873,0.014331993,0.029180779,2.918077905,,,,,
1719,66.52963977,68.14000003,65.58,0.044959459,0.014480631,TRUE,0.039036292,,0.115096216,0.014480631,0.029484413,2.94844132,,,,,
1015,156.7630119,161.96,154.9,0.015798961,0.012027191,TRUE,0.045577792,,0.111540662,0.012027191,0.02447259,2.447259008,,,,,
1637,273.7485135,264.3499999,271.09,0.007354289,0.009806756,TRUE,-0.024862592,,-0.049567911,0.009806756,0.019936743,1.99367431,,,,,
1449,63.42431131,67.72000002,65.24,0.086995738,-0.027830912,FALSE,0.038013489,,0.215749433,0.027830912,0.05675602,5.67560197,,,,,
647,38.04924747,41.39999998,38.23,0.025011904,-0.004728029,FALSE,0.082919173,,0.079287736,0.004728029,0.009562051,0.956205096,,,,,
1523,52.66875087,51.51000002,52.15,0.038780078,0.009947284,TRUE,-0.012272291,,-0.024819249,0.009947284,0.02022381,2.022381044,,,,,
682,68.41940835,70.56,67.42,0.044771669,0.014823618,TRUE,0.046573717,,0.14058304,0.014823618,0.030185059,3.01850591,,,,,
1353,137.0824002,139.98,135.37,0.019017797,0.012649776,TRUE,0.034054813,,0.087672043,0.012649776,0.025744391,2.574439136,,,,,
397,115.4597388,116.03,113.88,0.024798944,0.01387196,TRUE,0.018879522,,0.053317728,0.01387196,0.028241037,2.824103689,,,,,
