,Predictions,Actual,Stock Price,,,,,,ROI,,,,
1732,77.68517637,81.38,76,TRUE,FALSE,FALSE,7.1%,,7.443062273,,0.392649903,TRUE,FALSE
387,74.49914947,77.23,70.9,TRUE,FALSE,FALSE,8.9%,,,,,,
320,139.5082454,138.68,146.22,FALSE,TRUE,FALSE,-5.2%,,1.12050946,,,,
736,85.43010021,87.06,83.95,TRUE,FALSE,FALSE,3.7%,,,,,,
685,108.6393193,109.17,105.66,TRUE,FALSE,FALSE,3.3%,,,,,,
1345,395.4106108,359.07,353.19,TRUE,FALSE,FALSE,1.7%,,,,,,
1807,70.47581144,76.87,70.06,TRUE,FALSE,FALSE,9.7%,,,,,,
594,82.70151019,86.37,78.13,TRUE,FALSE,FALSE,10.5%,,,,,,
813,127.417156,128.92,125.8,TRUE,FALSE,FALSE,2.5%,,,,,,
844,65.10238644,67.07,62.69,TRUE,FALSE,FALSE,7.0%,,,,,,
1418,103.4418901,98.25,100.51,TRUE,FALSE,FALSE,-2.2%,,,,,,
1823,286.0517596,243.36,292.92,FALSE,TRUE,FALSE,-16.9%,,,,,,
994,146.6997691,155.72,144.71,TRUE,FALSE,FALSE,7.6%,,,,,,
1147,142.9128786,140.98,141.13,TRUE,FALSE,FALSE,-0.1%,,,,,,
147,33.67332094,32.49,31.68,TRUE,FALSE,FALSE,2.6%,,,,,,
1069,179.9839655,198.33,186.98,FALSE,TRUE,FALSE,6.1%,,,,,,
478,63.58252285,57.93,62.32,TRUE,FALSE,FALSE,-7.0%,,,,,,
1590,77.09671765,70.66,71.3,TRUE,FALSE,FALSE,-0.9%,,,,,,
1169,172.8477205,182.14,172.71,TRUE,FALSE,FALSE,5.5%,,,,,,
421,368.5427219,406.88,408,FALSE,TRUE,FALSE,-0.3%,,,,,,
1786,39.7413593,36.95,37,TRUE,FALSE,FALSE,-0.1%,,,,,,
828,54.85862945,57.75,51.7,TRUE,FALSE,FALSE,11.7%,,,,,,
1525,172.5110232,169.4,172.92,FALSE,TRUE,FALSE,-2.0%,,,,,,
1701,26.6939339,22.66,24.59,TRUE,FALSE,FALSE,-7.8%,,,,,,
4,159.936681,165.17,164.5,FALSE,TRUE,FALSE,0.4%,,,,,,
969,238.3909262,254.04,236.15,TRUE,FALSE,FALSE,7.6%,,,,,,
1651,315.3132301,334.11,314.35,TRUE,FALSE,FALSE,6.3%,,,,,,
431,26.57580341,24.15,22.81,TRUE,FALSE,FALSE,5.9%,,,,,,
1664,91.94076047,95.96,95.52,FALSE,TRUE,FALSE,0.5%,,,,,,
1630,65.70103209,65.78,63.48,TRUE,FALSE,FALSE,3.6%,,,,,,
796,81.70592545,88.27,80.35,TRUE,FALSE,FALSE,9.9%,,,,,,
1499,20.72965595,19.49,17.82,TRUE,FALSE,FALSE,9.4%,,,,,,
317,73.49791242,82.44,70.9,TRUE,FALSE,FALSE,16.3%,,,,,,
1776,110.0400305,108.82,107.05,TRUE,FALSE,FALSE,1.7%,,,,,,
1548,350.8230354,411.54,368,FALSE,TRUE,FALSE,11.8%,,,,,,
1685,59.39520612,54.31,57.65,TRUE,FALSE,FALSE,-5.8%,,,,,,
181,137.6963408,153.23,136.31,TRUE,FALSE,FALSE,12.4%,,,,,,
21,151.3171013,151.52,153.65,FALSE,TRUE,FALSE,-1.4%,,,,,,
303,132.8217822,144.5,136.56,FALSE,TRUE,FALSE,5.8%,,,,,,
988,85.36760703,87.5,83.51,TRUE,FALSE,FALSE,4.8%,,,,,,
1388,32.74073972,28.75,28.98,TRUE,FALSE,FALSE,-0.8%,,,,,,
1595,179.5874122,182.51,181.46,FALSE,TRUE,FALSE,0.6%,,,,,,
304,107.3544198,111.29,106.95,TRUE,FALSE,FALSE,4.1%,,,,,,
1362,48.40946688,48.44,46.27,TRUE,FALSE,FALSE,4.7%,,,,,,
1775,121.7449363,127.74,122.2,FALSE,TRUE,FALSE,4.5%,,,,,,
712,109.0953483,101.82,113.37,FALSE,TRUE,FALSE,-10.2%,,,,,,
356,155.9529725,173.15,154.68,TRUE,FALSE,FALSE,11.9%,,,,,,
1421,24.0045622,25.33,22.4,TRUE,FALSE,FALSE,13.1%,,,,,,
1580,115.6323193,115.95,117.56,FALSE,TRUE,FALSE,-1.4%,,,,,,
1298,32.03606092,26.02,29.23,TRUE,FALSE,FALSE,-11.0%,,,,,,
104,23.31607608,23.53,19.25,TRUE,FALSE,FALSE,22.2%,,,,,,
1854,25.72979322,25.32,24.33,TRUE,FALSE,FALSE,4.1%,,,,,,
653,92.23293208,99.13,87.48,TRUE,FALSE,FALSE,13.3%,,,,,,
1159,86.62875893,87.53,81.75,TRUE,FALSE,FALSE,7.1%,,,,,,
1185,21.83979244,21.52,18.3,TRUE,FALSE,FALSE,17.6%,,,,,,
1644,30.96817601,29.08,27.56,TRUE,FALSE,FALSE,5.5%,,,,,,
734,89.22357666,86.39,94.83,FALSE,TRUE,FALSE,-8.9%,,,,,,
1513,46.29395324,43.56,43.91,TRUE,FALSE,FALSE,-0.8%,,,,,,
704,129.0132515,118.91,125.93,TRUE,FALSE,FALSE,-5.6%,,,,,,
1882,42.43894164,47.19,40.14,TRUE,FALSE,FALSE,17.6%,,,,,,
1790,243.9994736,279.28,244.41,FALSE,TRUE,FALSE,14.3%,,,,,,
334,126.9353365,137.84,122.52,TRUE,FALSE,FALSE,12.5%,,,,,,
954,28.60352382,26.93,26.04,TRUE,FALSE,FALSE,3.4%,,,,,,
1384,65.93726574,65.65,63.42,TRUE,FALSE,FALSE,3.5%,,,,,,
282,144.9327121,144.2,142.64,TRUE,FALSE,FALSE,1.1%,,,,,,
1312,44.61385266,44.74,42.52,TRUE,FALSE,FALSE,5.2%,,,,,,
785,116.7477224,118.57,115.52,TRUE,FALSE,FALSE,2.6%,,,,,,
1500,72.45253772,73.2,71.1,TRUE,FALSE,FALSE,3.0%,,,,,,
284,65.52827253,67.54,59.7,TRUE,FALSE,FALSE,13.1%,,,,,,
270,130.8685365,132.48,129.11,TRUE,FALSE,FALSE,2.6%,,,,,,
1061,105.9025336,116.19,106.16,FALSE,TRUE,FALSE,9.4%,,,,,,
1062,16.54718123,14.97,14.07,TRUE,FALSE,FALSE,6.4%,,,,,,
995,48.56522961,42.79,44.95,TRUE,FALSE,FALSE,-4.8%,,,,,,
958,19.94218131,16.28,16.74,TRUE,FALSE,FALSE,-2.7%,,,,,,
1627,32.2190396,21.3,29.18,TRUE,FALSE,FALSE,-27.0%,,,,,,
110,72.48873207,72.71,69.33,TRUE,FALSE,FALSE,4.9%,,,,,,
1359,70.7327334,68.06,67.35,TRUE,FALSE,FALSE,1.1%,,,,,,
942,40.29284778,35.95,37.65,TRUE,FALSE,FALSE,-4.5%,,,,,,
819,255.8923228,223.46,255.73,TRUE,FALSE,FALSE,-12.6%,,,,,,
1114,127.486278,116.21,126.45,TRUE,FALSE,FALSE,-8.1%,,,,,,
219,49.19767831,49.57,47.62,TRUE,FALSE,FALSE,4.1%,,,,,,
1263,41.67474118,44.39,41.94,FALSE,TRUE,FALSE,5.8%,,,,,,
738,114.3994528,101.06,115.36,FALSE,TRUE,FALSE,-12.4%,,,,,,
475,132.5294114,56.43,127.47,TRUE,FALSE,FALSE,-55.7%,,,,,,
435,70.16876857,72.36,70.01,TRUE,FALSE,FALSE,3.4%,,,,,,
312,124.08422,126,130.02,FALSE,TRUE,FALSE,-3.1%,,,,,,
799,58.53242901,61.18,56.11,TRUE,FALSE,FALSE,9.0%,,,,,,
161,78.09480774,90.06,78.98,FALSE,TRUE,FALSE,14.0%,,,,,,
459,45.99721646,52.73,49.21,FALSE,TRUE,FALSE,7.2%,,,,,,
890,88.76663283,85.01,84.01,TRUE,FALSE,FALSE,1.2%,,,,,,
1371,114.2697697,113.7,112.89,TRUE,FALSE,FALSE,0.7%,,,,,,
122,72.12158646,72.61,69.03,TRUE,FALSE,FALSE,5.2%,,,,,,
