,Predictions,Actual,Stock Price
1120,104.9002386748068,93.91,103.44
672,117.46416787251293,117.81,114.66
50,134.39721032052705,116.8,131.83
929,155.46820287675746,155.17,153.7
1555,106.70158664860361,128.42,110.21
574,69.40578753939604,77.29,68.57
908,46.10159353284465,44.98,44.68
1102,213.3353754773351,209.86,211.93
177,72.91612371874585,71.75,70.89
1359,65.76281110263506,68.06,63.66
1607,197.3743910568465,196.48,193.59
1573,102.55989997968814,111.46,103.07
1830,139.4951911296654,133.77,138.83
151,626.3525518899285,688.5,622.09
1311,96.34530915955735,94.73,94.06
208,255.0671277699331,236.31,257.77
81,125.37366816501509,124.22,123.95
895,84.78019595564369,78.48,82.26
874,153.71436185786462,155.4,150.25
1661,30.467979874657875,25.91,29.47
1152,171.0093075060272,170.2,167.82
1645,237.27276657731443,234.71,234.0
1756,36.59585909130311,35.53,35.79
160,122.47943572053715,122.21,122.59
1396,326.5605647236247,350.63,324.55
129,87.6426768074467,83.34,85.37
77,160.97149823406215,180.12,159.89
561,84.79307701401304,81.96,85.08
1655,32.77205130343856,34.28,31.38
323,209.12195167708347,179.55,207.48
1461,54.07561659568399,53.79,52.94
1400,74.05066645264966,64.99,73.2
1731,36.293339292188726,34.18,33.86
958,17.384966646169506,16.28,16.71
1213,108.44169727074107,116.84,107.15
540,147.91794733315004,142.39,146.12
1298,28.41808979402962,26.02,27.37
1636,32.88160121256371,30.28,31.16
1141,24.177476435375244,22.34,23.03
415,56.86077966562954,59.73,55.09
1240,110.3500288024028,115.84,109.72
1312,45.29486408816853,44.74,46.91
971,121.31737988918331,134.21,122.68
122,71.44168814944801,72.61,69.68
1428,46.87557872711396,48.06,45.85
702,75.78963053670054,76.21,74.04
616,74.59692353241066,67.9,73.32
1255,193.81668252198455,186.13,189.76
591,69.55004904036868,70.3,69.03
945,118.62757749751214,123.67,118.77
89,64.60940089010666,53.21,63.09
1105,94.81499265571614,101.93,95.52
1333,65.94992681720852,65.77,65.99
948,20.050032238854186,17.54,18.28
1188,86.33742489021931,83.45,84.26
494,26.430359478991292,25.96,24.89
1443,157.21263378390915,142.62,161.71
1814,54.614129177368156,53.04,53.24
374,84.22440399103135,89.2,82.19
878,49.094623066390426,48.78,47.8
